<div class="word_wrap"><h2 class="word">divulge</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make known (something private or secret)</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 泄露</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> keep secret</div></div></div>
<div class="word_wrap"><h2 class="word">extraneous</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not important</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不重要的，不相关的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> irrelevant</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. coming from the outside</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 外部的</div></div></div>
<div class="word_wrap"><h2 class="word">rehash</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to bring forth again in another form without signiﬁcant alteration</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> （没有实质改变地 ) 重提</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> recycle</div></div></div>
<div class="word_wrap"><h2 class="word">perfunctory</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. acting with indifference, showing little interest or care</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不走心的，敷衍草率的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> cursory, casual</div></div></div>
<div class="word_wrap"><h2 class="word">compound</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to form by combining separate things</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 混合，合成</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make worse</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 使 ... 变糟糕</div></div></div>
<div class="word_wrap"><h2 class="word">envy</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to feel a desire to have what someone else has</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 嫉妒</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> covet</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> enviable adj. 令人嫉妒的</div></div></div>
<div class="word_wrap"><h2 class="word">defensive</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. in a situation which you are forced to defend or protect someone or something</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 被动防守的，防御的</div></div></div>
<div class="word_wrap"><h2 class="word">unbounded</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not limited in any way</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不受限制的</div></div></div>
<div class="word_wrap"><h2 class="word">specious</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. falsely appearing to be right</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 似是而非的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> artiﬁcial, forged, fabricate</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> valid, veritable</div></div></div>
<div class="word_wrap"><h2 class="word">aimless</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not having a goal or purpose</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 漫无目的的</div></div></div>
<div class="word_wrap"><h2 class="word">ingenuous</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. having or showing the innocence, trust, and honesty that young people often have</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 纯朴的，真诚的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> simple</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> guileful</div></div></div>
<div class="word_wrap"><h2 class="word">intrinsic</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. belonging to the essential nature of a thing</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 核心的，内在的</div></div></div>
<div class="word_wrap"><h2 class="word">inevitable</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. sure to happen</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不可避免的，一定发生的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> unavoidable</div></div></div>
<div class="word_wrap"><h2 class="word">intransigent</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. completely unwilling to change</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不妥协的，固执的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> resolute, obduracy</div></div></div>
<div class="word_wrap"><h2 class="word">detached</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not inﬂuenced by emotions or personal interest</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不受感情影响的，公正的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not joined or connected</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 脱离的</div></div></div>
<div class="word_wrap"><h2 class="word">inveterate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. always or often happening or existing</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 一贯的</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> casual</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. always or often doing something speciﬁed</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 习惯做…的</div></div></div>
<div class="word_wrap"><h2 class="word">backhanded</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. oblique or indirect</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不直接的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. having derogatory or insulting implications</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 含沙射影的，讽刺挖苦的</div></div></div>
<div class="word_wrap"><h2 class="word">affable</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. easy and pleasant to speak to</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 和蔼可亲的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> easygoing, cordial, genteel</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> irascible</div></div></div>
<div class="word_wrap"><h2 class="word">whimsy</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. an unusual, unexpected, or fanciful idea</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 突发奇想</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> capriciousness</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> whimsical adj. 突发奇想的，多变的</div></div></div>
<div class="word_wrap"><h2 class="word">tenacious</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. very determined to do something</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 坚定的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> resolve, endurance</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> tenacity n. 坚定</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. continuing for a long time</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 持续的</div></div></div>
<div class="word_wrap"><h2 class="word">sardonic</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. scornfully or cynically mocking</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 嘲讽的，讥笑的</div></div></div>
<div class="word_wrap"><h2 class="word">skullduggery</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. secret or dishonest behavior or activity</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 欺骗，作假</div></div></div>
<div class="word_wrap"><h2 class="word">legitimate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. being in compliance with the law</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 合法的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. valid or justiﬁable</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 合理的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make (something) real, accepted, or ofﬁcial or to show that(something) is fair or reasonable</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 使…合理，合法</div></div></div>
<div class="word_wrap"><h2 class="word">plagiarize</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to reproduce or otherwise use as one’s own</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 抄袭</div></div></div>
<div class="word_wrap"><h2 class="word">disavow</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to say that you are not responsible for</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 否认</div></div></div>
<div class="word_wrap"><h2 class="word">deplete</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to use most or all of</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 耗尽</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> depletion n. 耗尽</div></div></div>
<div class="word_wrap"><h2 class="word">ridicule</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to laugh at and make jokes about</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 嘲笑，耻笑</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> ridiculous adj. 荒谬的</div></div></div>
<div class="word_wrap"><h2 class="word">undermine</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make (someone or something) weaker or less effective</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 削弱</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> subvert, impair, undercut</div></div></div>
<div class="word_wrap"><h2 class="word">self-serving</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. having or showing concern only about your own needs and interests</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 自私的</div></div></div>
<div class="word_wrap"><h2 class="word">perishable</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. likely to spoil or decay quickly</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 易消亡的，短暂的</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> perish v. 死亡</div></div></div>
<div class="word_wrap"><h2 class="word">capricious</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. changing often and quickly</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 变化多端的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> impulsive, cavalier, ﬁckle, versatile, volatile, ﬂighty, erratic</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> resolute, steadfast</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> caprice n. 突发奇想，怪念头</div></div></div>
<div class="word_wrap"><h2 class="word">egotism</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. an inﬂated sense of one’s own importance</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 自大</div></div></div>
<div class="word_wrap"><h2 class="word">unqualified</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. complete or total</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 完全的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> unalloyed</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. not having the skills, knowledge, or experience needed to do a particular job or activity</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不合格的</div></div></div>
<div class="word_wrap"><h2 class="word">magisterial</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. authoritative</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 权威的</div></div></div>
<div class="word_wrap"><h2 class="word">chauvinistic</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. believing that your country is better than any other</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 极端爱国的</div></div></div>
<div class="word_wrap"><h2 class="word">sleek</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. straight and smooth in design or shape</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 光滑的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. stylish and attractive</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 时髦的，吸引人的</div></div></div>
<div class="word_wrap"><h2 class="word">astringent</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. very critical in a sharp and often clever way</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 严厉的，尖刻的</div></div></div>
<div class="word_wrap"><h2 class="word">ambivalent</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. simultaneous and contradictory attitudes or feelings toward an object, person, or action</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> （情感、态度）矛盾</div></div></div>
<div class="word_wrap"><h2 class="word">ameliorate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make better or more tolerable</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 改善，提升</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> mitigate, extenuate</div></div></div>
<div class="word_wrap"><h2 class="word">exemplar</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. a typical example</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 典型</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> model</div></div></div>
<div class="word_wrap"><h2 class="word">grudge</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to be unwilling to give or admit</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 不愿给予或承认</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. a deep-seated feeling of resentment or rancor</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 怨恨</div></div></div>
<div class="word_wrap"><h2 class="word">sweeping</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. extensive</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 广泛的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. marked by wholesale and indiscriminate inclusion</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 全面的</div></div></div>
<div class="word_wrap"><h2 class="word">extirpate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to destroy or remove completely</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 根除</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> eliminate</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> propagate</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> extirpation n. 根除</div></div></div>
<div class="word_wrap"><h2 class="word">parity</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. equality</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 平等</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> equality</div></div></div>
<div class="word_wrap"><h2 class="word">utilitarian</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. made to be useful rather than to be decorative or comfortable</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 实用的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> functional</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. of or relating to utilitarianism</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 功利的，实用主义的</div></div></div>
<div class="word_wrap"><h2 class="word">elicit</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to call forth or draw out</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 引起</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> draw</div></div></div>
<div class="word_wrap"><h2 class="word">beneficial</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. producing good or helpful results or effects</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 有益处的</div></div></div>
<div class="word_wrap"><h2 class="word">intoxicate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to excite or elate to the point of enthusiasm or frenzy</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 使 ... 陶醉，沉醉</div></div></div>
<div class="word_wrap"><h2 class="word">inchoate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. being in a beginning or early stage</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 早期的</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> completely formed</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. imperfectly informed or developed</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> （在早期）混乱的</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> explicit</div></div></div>
<div class="word_wrap"><h2 class="word">rebuff</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. a blunt or abrupt repulse or refusal</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> （粗鲁的）回复</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to reject bluntly, often disdainfully</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> （粗鲁地）拒绝</div></div></div>
<div class="word_wrap"><h2 class="word">construe</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to understand the meaning of</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 理解</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> interpret</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> construction n. 理解</div></div></div>
<div class="word_wrap"><h2 class="word">fallacy</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. a false or mistaken idea</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 错误，谬论</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> validity</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> fallacious adj. 错误的</div></div></div>
<div class="word_wrap"><h2 class="word">increment</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> n. the action or process of increasing especially in quantity or value</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 增长，递增</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> incremental adj. 增加的</div></div></div>
<div class="word_wrap"><h2 class="word">deteriorate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make (something) worse</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 恶化</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> worsen</div></div><div class="opp"><div class="icon_opp">反</div><div class="content_opp"> improve</div></div><div class="derive"><div class="icon_derive">派</div><div class="content_derive"> deterioration n. 恶化</div></div></div>
<div class="word_wrap"><h2 class="word">grandiose</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. impressive because of uncommon largeness, scope, effect, or grandeur</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 宏伟壮观的</div></div><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. excessive self-importance or affected grandeur</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 妄自尊大的</div></div></div>
<div class="word_wrap"><h2 class="word">truncate</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> v. to make shorter</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 缩短</div></div></div>
<div class="word_wrap"><h2 class="word">haphazard</h2></div>	<div class="content"><div class="eng"><div class="icon_eng">英</div><div class="content_eng"> adj. having no plan, order, or direction</div></div><div class="cn"><div class="icon_cn">中</div><div class="content_cn"> 无序的，凌乱的</div></div><div class="cho"><div class="icon_cho">选</div><div class="content_cho"> helter-skelter, randomly</div></div></div>
